Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10u,C15525
C2,0402,1,1u,C14445
"C3, C6, C7, C8",0402,4,0.1u,C1546
"C4, C5",0402,2,10uF,C15525
"D1, D2",0805,2,LED,C2293
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
Q1,SOT-23,1,AO3400A,C20917
"R1, R3, R5, R6, R9",0402,5,10K,C25744
"R2, R8",0402,2,100k,C60491
"R4, R7",0402,2,1.5k,C25867
"SW1, SW2",SW_SPST_B3U-1000P-B,2,SW_Push,C498294
U1,wio-sx1262,1,Wio-SX1262,
U2,XIAO-ESP32C6-SMD,1,XIAO-ESP32-S3-SMD,
U3,CDTop_MT3333_PA1010D,1,PA1010D,
U5,SON65P200X200X65-7N,1,OPT3001DNPR,C90462
U6,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C7461852
