Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0402_1005Metric",129.925000,-83.705000,-90.000000,top
"C3","0.1u","C_0402_1005Metric",132.375000,-83.705000,-90.000000,top
"C4","10u","C_0402_1005Metric",137.925000,-57.257500,-90.000000,top
"C5","0.1u","C_0402_1005Metric",157.600000,-71.280000,90.000000,top
"C6","0.1u","C_0402_1005Metric",159.780000,-79.200000,180.000000,top
"C7","0.1u","C_0402_1005Metric",153.075000,-64.380000,90.000000,top
"C8","0.1u","C_0402_1005Metric",145.575000,-58.845000,-90.000000,top
"D1","LED","LED_0201_0603Metric",153.750000,-56.450000,90.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.00mm_Vertical",167.075000,-78.950000,90.000000,top
"Q1","AO3400A","SOT-23",148.762500,-59.725000,0.000000,top
"R1","10k","R_0402_1005Metric",124.540000,-81.100000,180.000000,top
"R2","100k","R_0402_1005Metric",145.550000,-61.150000,90.000000,top
"R3","10k","R_0402_1005Metric",137.925000,-55.122500,-90.000000,top
"R5","10k","R_0402_1005Metric",151.250000,-66.060000,-90.000000,top
"R6","10k","R_0402_1005Metric",145.850000,-66.660000,90.000000,top
"R7","1.5k","R_0402_1005Metric",155.925000,-56.027500,-90.000000,top
"R8","100k","R_0402_1005Metric",152.275000,-60.215000,-90.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P-B",134.150000,-55.862500,0.000000,top
"U1","Wio-SX1262","wio-sx1262",145.050000,-73.378750,-90.000000,top
"U2","XIAO-ESP32-S3-SMD","XIAO-ESP32C6-SMD",131.630000,-68.915000,90.000000,top
"U3","PA1010D","CDTop_MT3333_PA1010D",164.883000,-66.250000,-90.000000,top
"U4","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",156.900000,-66.900000,180.000000,top
"U5","OPT3001DNPR","SON65P200X200X65-7N",148.850000,-65.475000,180.000000,top
"U6","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",159.550000,-77.100000,0.000000,top
